Datum,Dag,Plaats,Container,Klantnaam,Aantal Containers
2024-01-01,Monday,Utrecht,3m3,webshop,1
2024-01-01,Monday,Klein Medhuizen (Midhuizen ?) / Lyts Midhuzen,3m3,Bedrijf_1,1
2024-01-01,Monday,Utrecht,6m3,Bedrijf_1,1
2024-01-01,Monday,Utrecht,6m3,webshop,1
2024-01-01,Monday,Zeelberg,3m3,Bedrijf_2,1
2024-01-01,Monday,Veenendaal,3m3,Bedrijf_2,1
2024-01-01,Monday,Renkum,3m3,Bedrijf_1,1
2024-01-01,Monday,Varsselder,3m3,webshop,1
2024-01-01,Monday,Ede,3m3,Bedrijf_1,1
2024-01-01,Monday,Veenendaal,3m3,Bedrijf_2,1
2024-01-01,Monday,Utrecht,3m3,Bedrijf_1,1
2024-01-01,Monday,Beringe,6m3,Bedrijf_1,1
2024-01-01,Monday,Veenendaal,3m3,Bedrijf_2,1
2024-01-01,Monday,Utrecht,10m3,webshop,1
2024-01-01,Monday,Renkum,10m3,Bedrijf_1,1
2024-01-01,Monday,Milt,6m3,Bedrijf_2,1
2024-01-01,Monday,Ulft,10m3,Bedrijf_2,1
2024-01-01,Monday,Ede,3m3,Bedrijf_2,1
2024-01-01,Monday,Joppe,6m3,Bedrijf_1,1
2024-01-01,Monday,Veenendaal,6m3,webshop,1
2024-01-01,Monday,Utrecht,3m3,Bedrijf_2,1
2024-01-01,Monday,Horssen,3m3,Bedrijf_2,1
2024-01-01,Monday,Putbroek,10m3,Bedrijf_1,1
2024-01-01,Monday,Leerdam,6m3,Bedrijf_1,1
2024-01-01,Monday,Veenendaal,10m3,webshop,1
2024-01-01,Monday,Renkum,3m3,Bedrijf_2,1
2024-01-01,Monday,Ede,10m3,Bedrijf_1,1
2024-01-01,Monday,Renkum,6m3,webshop,1
2024-01-01,Monday,Oensel,10m3,Bedrijf_1,1
2024-01-01,Monday,Oude Maasdijk,10m3,Bedrijf_1,1
2024-01-01,Monday,Veenendaal,6m3,Bedrijf_2,1
2024-01-01,Monday,Velddriel,6m3,Bedrijf_2,1
2024-01-01,Monday,Veenendaal,10m3,webshop,1
2024-01-01,Monday,Utrecht,6m3,webshop,1
2024-01-01,Monday,Utrecht,3m3,Bedrijf_1,1
2024-01-01,Monday,Renkum,6m3,Bedrijf_1,1
2024-01-01,Monday,Renkum,3m3,Bedrijf_1,1
2024-01-01,Monday,Hoenzadriel,6m3,Bedrijf_1,1
2024-01-01,Monday,Renkum,10m3,webshop,1
2024-01-01,Monday,Veenendaal,6m3,Bedrijf_1,1
2024-01-01,Monday,Renkum,6m3,Bedrijf_1,1
2024-01-01,Monday,Renkum,3m3,Bedrijf_2,1
2024-01-01,Monday,Engeland,3m3,Bedrijf_2,1
2024-01-01,Monday,Renkum,6m3,Bedrijf_1,1
2024-01-01,Monday,Veenendaal,6m3,Bedrijf_1,1
2024-01-01,Monday,Ede,3m3,Bedrijf_1,1
2024-01-01,Monday,Renkum,6m3,webshop,1
2024-01-01,Monday,Ede,3m3,Bedrijf_2,1
2024-01-01,Monday,Kruispolderhaven,6m3,Bedrijf_2,1
2024-01-01,Monday,Bern,10m3,Bedrijf_2,1
2024-01-01,Monday,Lintvelde,10m3,Bedrijf_2,1
2024-01-01,Monday,Ede,10m3,Bedrijf_2,1
2024-01-01,Monday,Moleneind,3m3,Bedrijf_1,1
2024-01-01,Monday,Hoevelaken,10m3,Bedrijf_1,1
2024-01-01,Monday,Utrecht,10m3,webshop,1
2024-01-01,Monday,Utrecht,3m3,Bedrijf_2,1
2024-01-01,Monday,Hernen,6m3,Bedrijf_2,1
2024-01-01,Monday,Utrecht,3m3,Bedrijf_1,1
2024-01-01,Monday,Calfven,6m3,Bedrijf_2,1
2024-01-01,Monday,Velswijk,10m3,Bedrijf_2,1
2024-01-01,Monday,Middelaar,6m3,Bedrijf_2,1
2024-01-01,Monday,Utrecht,6m3,Bedrijf_2,1
2024-01-01,Monday,Uitweg,6m3,Bedrijf_1,1
2024-01-01,Monday,Houwerzijl,6m3,Bedrijf_2,1
2024-01-01,Monday,Veldhoek,6m3,webshop,1
2024-01-01,Monday,Utrecht,3m3,webshop,1
2024-01-01,Monday,Ede,3m3,webshop,1
2024-01-01,Monday,Ede,3m3,Bedrijf_1,1
2024-01-01,Monday,Veenendaal,10m3,webshop,1
2024-01-01,Monday,Lede en Oudewaard,6m3,Bedrijf_1,1
2024-01-01,Monday,Hagestein,3m3,webshop,1
2024-01-01,Monday,Veenendaal,10m3,Bedrijf_1,1
2024-01-01,Monday,De Ruif,6m3,Bedrijf_1,1
2024-01-01,Monday,Veenendaal,6m3,Bedrijf_2,1
2024-01-01,Monday,Veenendaal,6m3,Bedrijf_2,1
2024-01-01,Monday,Swifterbant,10m3,Bedrijf_2,1
2024-01-01,Monday,Laak,3m3,Bedrijf_1,1
2024-01-01,Monday,Tappersheul,10m3,Bedrijf_2,1
2024-01-01,Monday,Geldtienden,10m3,Bedrijf_2,1
2024-01-01,Monday,Westendorp,3m3,Bedrijf_1,1
2024-01-01,Monday,Ede,10m3,Bedrijf_1,1
2024-01-02,Tuesday,Boerenhoek,6m3,Bedrijf_2,1
2024-01-02,Tuesday,Vorden,3m3,webshop,1
2024-01-02,Tuesday,Nieuwe-Wetering,10m3,Bedrijf_1,1
2024-01-02,Tuesday,Klinkenberg,6m3,Bedrijf_2,1
2024-01-02,Tuesday,Veldhoek,10m3,webshop,1
2024-01-02,Tuesday,Velsen-Noord,6m3,Bedrijf_2,1
2024-01-02,Tuesday,Veenendaal,6m3,webshop,1
2024-01-02,Tuesday,Utrecht,3m3,Bedrijf_1,1
2024-01-02,Tuesday,Utrecht,6m3,Bedrijf_1,1
2024-01-02,Tuesday,Ommerenveld,3m3,Bedrijf_1,1
2024-01-02,Tuesday,Kromme Mijdrecht,10m3,Bedrijf_2,1
2024-01-02,Tuesday,Utrecht,10m3,Bedrijf_2,1
2024-01-02,Tuesday,Renkum,3m3,Bedrijf_1,1
2024-01-02,Tuesday,Groningen,6m3,Bedrijf_1,1
2024-01-02,Tuesday,Maarn,6m3,Bedrijf_2,1
2024-01-02,Tuesday,Renkum,3m3,Bedrijf_1,1
2024-01-02,Tuesday,Greffelkamp,10m3,Bedrijf_2,1
2024-01-02,Tuesday,Galder,6m3,Bedrijf_1,1
2024-01-02,Tuesday,Rha,6m3,webshop,1
2024-01-02,Tuesday,Cruquius,6m3,Bedrijf_1,1
2024-01-02,Tuesday,Ede,3m3,Bedrijf_1,1
2024-01-02,Tuesday,De Schoolt,6m3,webshop,1
2024-01-02,Tuesday,Utrecht,10m3,webshop,1
2024-01-02,Tuesday,Westervoort,10m3,Bedrijf_2,1
2024-01-02,Tuesday,Veenendaal,3m3,Bedrijf_1,1
2024-01-02,Tuesday,Lunteren,6m3,Bedrijf_2,1
2024-01-02,Tuesday,Kulert,10m3,Bedrijf_1,1
2024-01-02,Tuesday,Horssen,6m3,Bedrijf_2,1
2024-01-02,Tuesday,Ede,3m3,Bedrijf_1,1
2024-01-02,Tuesday,Veenendaal,6m3,Bedrijf_2,1
2024-01-02,Tuesday,Ede,3m3,Bedrijf_2,1
2024-01-02,Tuesday,Ede,3m3,Bedrijf_2,1
2024-01-02,Tuesday,Veenendaal,10m3,webshop,1
2024-01-02,Tuesday,Kootwijkerbroek,10m3,Bedrijf_1,1
2024-01-02,Tuesday,Utrecht,3m3,Bedrijf_1,1
2024-01-02,Tuesday,Hell,3m3,Bedrijf_1,1
2024-01-02,Tuesday,Utrecht,10m3,webshop,1
2024-01-02,Tuesday,Ede,6m3,Bedrijf_2,1
2024-01-02,Tuesday,Utrecht,10m3,Bedrijf_1,1
2024-01-02,Tuesday,Soesterberg,6m3,webshop,1
2024-01-02,Tuesday,Veenendaal,6m3,Bedrijf_2,1
2024-01-02,Tuesday,Ede,6m3,Bedrijf_1,1
2024-01-02,Tuesday,Vinkeveen,10m3,Bedrijf_2,1
2024-01-02,Tuesday,Vorchten,10m3,webshop,1
2024-01-02,Tuesday,Groenendaal,6m3,Bedrijf_1,1
2024-01-02,Tuesday,Ede,6m3,Bedrijf_2,1
2024-01-02,Tuesday,Renkum,10m3,Bedrijf_2,1
2024-01-02,Tuesday,Renkum,6m3,Bedrijf_2,1
2024-01-02,Tuesday,Hoekelum,3m3,Bedrijf_2,1
2024-01-02,Tuesday,Boschheurne,6m3,Bedrijf_2,1
2024-01-02,Tuesday,Renkum,3m3,webshop,1
2024-01-02,Tuesday,Veenendaal,10m3,Bedrijf_1,1
2024-01-02,Tuesday,Woezik,10m3,Bedrijf_2,1
2024-01-02,Tuesday,Utrecht,6m3,Bedrijf_1,1
2024-01-02,Tuesday,Haalderen,6m3,webshop,1
2024-01-02,Tuesday,Veenendaal,10m3,Bedrijf_2,1
2024-01-02,Tuesday,Utrecht,6m3,Bedrijf_1,1
2024-01-02,Tuesday,Renkum,10m3,Bedrijf_2,1
2024-01-02,Tuesday,Pannerden,6m3,Bedrijf_1,1
2024-01-02,Tuesday,Loerbeek,10m3,Bedrijf_1,1
2024-01-02,Tuesday,Utrecht,10m3,Bedrijf_1,1
2024-01-02,Tuesday,Noord-Empe,10m3,Bedrijf_2,1
2024-01-02,Tuesday,Veenendaal,10m3,Bedrijf_1,1
2024-01-02,Tuesday,Burgemeester Beinsdorp,10m3,Bedrijf_1,1
2024-01-02,Tuesday,Kantje,6m3,webshop,1
2024-01-02,Tuesday,Zeeland,6m3,Bedrijf_1,1
2024-01-02,Tuesday,Utrecht,6m3,Bedrijf_1,1
2024-01-02,Tuesday,Baal,3m3,Bedrijf_1,1
2024-01-02,Tuesday,Borgharen,6m3,Bedrijf_1,1
2024-01-02,Tuesday,Dreumel,10m3,Bedrijf_2,1
2024-01-02,Tuesday,Loosdorp,3m3,Bedrijf_1,1
2024-01-02,Tuesday,Ede,10m3,Bedrijf_2,1
2024-01-02,Tuesday,Achterhoek,6m3,webshop,1
2024-01-02,Tuesday,Empe,10m3,webshop,1
2024-01-02,Tuesday,De Hut,10m3,Bedrijf_1,1
2024-01-02,Tuesday,Molenbuurt,10m3,Bedrijf_1,1
2024-01-02,Tuesday,Veenendaal,10m3,Bedrijf_1,1
2024-01-02,Tuesday,Benderse,6m3,Bedrijf_1,1
